number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
2,823456,3,1,1,172,0,662
3,823456,10,1,1,120,0,918
2,823456,4,1,1,155,0,525
3,823456,12,1,1,517,0,766
3,823456,6,1,1,265,0,929
3,823456,4,1,1,120,0,655
2,823456,4,1,1,23,0,1543
3,1,7,1,1,226,0,707
3,823456,6,1,1,138,0,823
3,823456,6,1,1,187,0,605
2,823456,3,1,1,53,0,540
3,823456,8,1,1,159,0,790
3,409074,12,1,1,308,0,903
2,823456,3,1,1,170,0,687
3,823456,8,1,1,221,0,752
2,823456,4,1,1,107,0,508
3,823456,8,1,1,194,0,643
3,823456,4,1,1,43,0,968
3,409097,11,1,1,176,0,675
3,823456,7,1,1,201,0,892
3,823456,10,4,1,638,0,879
2,42886,5,1,1,202,0,633
3,823456,8,1,1,200,0,947
2,823456,3,1,1,215,0,517
3,210464,8,1,1,257,0,802
3,823456,6,1,1,167,0,814
3,823456,5,1,1,107,0,562
2,823456,3,1,1,41,0,571
2,823456,4,1,1,456,0,865
2,823456,4,1,1,76,0,579
3,823456,10,1,1,248,0,834
2,823456,4,1,1,70,0,844
2,823456,3,1,1,65,0,533
3,210464,13,1,1,374,0,723
2,823456,3,1,1,110,0,781
3,823456,7,1,1,197,0,550
3,823456,7,1,1,215,0,614
3,823456,7,1,1,175,0,742
2,18,4,156,155,1,0,699
2,18,4,66,65,1,0,535
2,18,4,53,53,1,0,542
3,18,9,201,200,1,0,952
3,18,8,116,115,1,0,963
2,18,5,77,76,1,0,584
3,18,13,309,308,1,0,908
2,18,5,457,456,1,0,869
3,18,8,216,215,1,0,619
3,18,13,518,517,1,0,774
3,18,11,121,120,1,0,922
3,18,8,287,286,1,0,597
2,18,5,24,23,1,0,1546
2,18,4,216,215,1,0,519
3,18,5,121,120,1,0,657
2,18,4,171,170,1,0,690
3,18,7,139,138,1,0,826
3,18,14,375,374,1,0,732
2,18,5,108,107,1,0,511
3,18,7,168,167,1,0,817
2,18,4,42,41,1,0,573
3,18,6,108,107,1,0,566
2,18,5,119,118,1,0,627
3,18,9,160,159,1,0,794
3,18,8,176,175,1,0,744
3,18,5,44,43,1,0,970
3,18,9,258,257,1,0,805
3,18,7,188,187,1,0,608
2,18,4,173,172,1,0,665
2,18,5,71,70,1,0,847
3,18,5,35,34,1,0,941
3,18,7,266,265,1,0,933
2,18,6,203,202,1,0,637
